Input Text,Left Context,Right Context,Extracted Text,Classification
Muestra todos los estudiantes que estudian en la escuela.,la,end,escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,la,end,escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,los,end,estudiantes que estudian en la escuela.,ATRIBUTO
Muestra todos los estudiantes que estudian en la escuela.,los,end,estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,que,estudiantes,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,estudiantes que estudian en la escuela.,ATRIBUTO
Muestra todos los estudiantes que estudian en la escuela.,los,end,estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,que,end,estudian en la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,la,a,,ATRIBUTO
Encuentra los animales que viven en Africa.,los,que,animales,TABLA
Encuentra los animales que viven en Africa.,que,end,viven en Africa.,CONDICION
Encuentra los animales que viven en Africa.,que,end,viven en Africa.,CONDICION
Encuentra los animales que viven en Africa.,los,que,animales,ATRIBUTO
Encuentra los animales que viven en Africa.,los,que,animales,ATRIBUTO
Encuentra los animales que viven en Africa.,los,que,animales,ATRIBUTO
Encuentra los animales que viven en Africa.,los,.,animales que viven en Africa,TABLA
Encuentra los animales que viven en Africa.,los,.,animales que viven en Africa,CONDICION
Encuentra los animales que viven en Africa.,los,en,animales que viv,TABLA
Encuentra los animales que viven en Africa.,los,que,animales,TABLA
Encuentra los animales que viven en Africa.,los,que,animales,TABLA
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,que,animales,TABLA
Encuentra los animales que viven en Africa.,en,end,Africa.,CONDICION
Encuentra los animales que viven en Africa.,los,que,animales,TABLA
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,ATRIBUTO
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,ATRIBUTO
Encuentra los animales que viven en Africa.,que,end,viven en Africa.,CONDICION
Encuentra los animales que viven en Africa.,los,que,animales,TABLA
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,ATRIBUTO
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,que,animales,TABLA
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,ATRIBUTO
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,que,end,viven en Africa.,CONDICION
