Input Text,Left Context,Right Context,Extracted Text,Classification
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,los,end,los estudiantes que estudian en la escuela.,TABLA
Muestra todos los estudiantes que estudian en la escuela.,que,end,que estudian en la escuela.,CONDICION
Muestra todos los estudiantes que estudian en la escuela.,la,a,l,ATRIBUTO
Encuentra los animales que viven en Africa.,los,que,los animales,TABLA
Encuentra los animales que viven en Africa.,que,end,que viven en Africa.,CONDICION
Encuentra los animales que viven en Africa.,que,end,que viven en Africa.,CONDICION
Encuentra los animales que viven en Africa.,los,que,los animales,ATRIBUTO
Encuentra los animales que viven en Africa.,los,que,los animales,ATRIBUTO
Encuentra los animales que viven en Africa.,los,que,los animales,ATRIBUTO
Encuentra los animales que viven en Africa.,los,.,los animales que viven en Africa,TABLA
Encuentra los animales que viven en Africa.,los,.,los animales que viven en Africa,CONDICION
Encuentra los animales que viven en Africa.,los,en,los animales que viv,TABLA
Encuentra los animales que viven en Africa.,los,que,los animales,TABLA
Encuentra los animales que viven en Africa.,los,que,los animales,TABLA
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,que,los animales,TABLA
Encuentra los animales que viven en Africa.,en,end,en Africa.,CONDICION
Encuentra los animales que viven en Africa.,los,que,los animales,TABLA
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,ATRIBUTO
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,ATRIBUTO
Encuentra los animales que viven en Africa.,que,end,que viven en Africa.,CONDICION
Encuentra los animales que viven en Africa.,los,que,los animales,TABLA
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,ATRIBUTO
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,que,los animales,TABLA
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,ATRIBUTO
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,los,end,los animales que viven en Africa.,TABLA
Encuentra los animales que viven en Africa.,que,end,que viven en Africa.,CONDICION
