ctx_i,ctx_d,class
2000,.,ATR_CONDICION
el,que,ATRIBUTO
una,de,ATR_CONDICION
de,?,VALOR
de,2000?,>
Mostrar,y,ATRIBUTO
y,para,ATRIBUTO
a,.,VALOR
precio,300.,>
con,superior,ATR_CONDICION
el,y,ATRIBUTO
y,de,ATRIBUTO
cuyo,sea,ATR_CONDICION
sea,300?,>
a,?,VALOR
al,?,VALOR
alergia,gato?,=
el,al,ATRIBUTO
de,al,ATR_CONDICION
los,?,VALOR
alergia,gatos?,=
de,a,ATRIBUTO
el,de,ATR_CONDICION
el,",",ATRIBUTO
"nombre,",y,ATRIBUTO
y,de,ATRIBUTO
las,.,ATR_CONDICION
sexo,F.,=
es,.,VALOR
los,y,ATRIBUTO
las,de,ATRIBUTO
las,cuyo,ATR_CONDICION
es,?,VALOR
sexo,F?,=
Mostrar,para,ATRIBUTO
los,varones.,ATR_CONDICION
estudiantes,.,VALOR
estudiantes,todos,=
las,para,ATRIBUTO
los,varones?,ATR_CONDICION
estudiantes,?,VALOR
estudiantes,todos,=
estudiantes,20,>
de,años.,VALOR
20,.,ATR_CONDICION
las,mayores,ATRIBUTO
las,para,ATRIBUTO
estudiantes,20,>
de,años?,VALOR
20,?,ATR_CONDICION
"""","""?",VALOR
apellido,"""Kim""?",=
qué,vive,ATRIBUTO
cuyo,es,ATR_CONDICION
es,.,VALOR
apellido,Kim.,=
cuyo,es,ATR_CONDICION
la,en,ATRIBUTO
cédula,?,VALOR
con,1004?,ATR_CONDICION
el,con,ATRIBUTO
estudiante,cédula,=
¿Quién,al,ATRIBUTO
al,1004?,ATR_CONDICION
estudiante,?,VALOR
asesora,estudiante,=
el,",",ATRIBUTO
la,y,ATRIBUTO
la,de,ATRIBUTO
los,",",ATRIBUTO
"nombres,",y,ATRIBUTO
y,de,ATRIBUTO
los,de,ATRIBUTO
cuya,esté,ATR_CONDICION
dirección,Harford,=
Harford,Waterbury.,OR
en,o,VALOR
o,.,VALOR
las,y,ATRIBUTO
y,de,ATRIBUTO
30,o,ATR_CONDICION
con,negra.,ATR_CONDICION
membresía,.,VALOR
de,años,VALOR
miembros,30,<
años,con,OR
los,de,ATRIBUTO
los,de,ATRIBUTO
Encuentra,de,ATRIBUTO
el,NY.,ATR_CONDICION
estado,.,VALOR
es,del,ATRIBUTO
el,de,ATR_CONDICION
de,?,VALOR
estado,Nueva,=
los,y,ATRIBUTO
y,de,ATRIBUTO
la,de,ATR_CONDICION
de,?,VALOR
ciudad,Calgary?,=
los,completos,ATRIBUTO
la,de,ATR_CONDICION
ciudad,Calgary.,=
de,.,VALOR
el,y,ATRIBUTO
y,del,ATRIBUTO
el,"""luisg@embraer.com.br""?",ATR_CONDICION
"""","""?",VALOR
el,completo,ATRIBUTO
el,"""luisg@embraer.com.br"".",ATR_CONDICION
"""",""".",VALOR
de,de,ATRIBUTO
de,de,ATRIBUTO
las,de,ATRIBUTO
en,?,VALOR
viven,Edmonton?,=
las,correspondientes,ATRIBUTO
la,de,ATR_CONDICION
ciudad,Edmonton.,=
de,.,VALOR
de,.,ATRIBUTO
de,?,ATRIBUTO
de,de,ATRIBUTO
la,"""Seguro",ATR_CONDICION
"""","""?",VALOR
la,"""Seguro",ATR_CONDICION
"""","""?",VALOR
de,de,ATRIBUTO
los,y,ATRIBUTO
los,donde,ATRIBUTO
los,y,ATRIBUTO
y,de,ATRIBUTO
el,",",ATRIBUTO
"producto,",y,ATRIBUTO
y,relacionados,ATRIBUTO
el,'Citosol'?,ATR_CONDICION
','?,VALOR
el,",",ATRIBUTO
"producto,",y,ATRIBUTO
y,de,ATRIBUTO
enzimas,en,ATR_CONDICION
','?,VALOR
ubicadas,'citosol'?,=
los,de,ATRIBUTO
que,producen,!=
no,'hemo'?,ATR_CONDICION
','?,VALOR
los,de,ATRIBUTO
cuyo,no,ATR_CONDICION
producto,'hemo'?,!=
','?,VALOR
los,y,ATRIBUTO
y,de,ATRIBUTO
"""","""",VALOR
la,?,ATR_CONDICION
que,"""Sí""",=
los,y,ATRIBUTO
y,de,ATRIBUTO
la,?,ATR_CONDICION
medicamentos,por,VALOR
las,públicas,ATRIBUTO
sus,.,ATRIBUTO
escuelas,y,VALOR
escuelas,y,VALOR
las,públicas,ATRIBUTO
sus,?,ATRIBUTO
las,que,ATRIBUTO
fueron,después,ATR_CONDICION
fundadas,1850,>
de,o,VALOR
1850,públicas.,OR
o,.,VALOR
las,que,ATRIBUTO
se,antes,ATR_CONDICION
fundaron,1850,<
de,o,VALOR
1850,son,OR
o,públicas?,=
son,?,VALOR
Enumera,relativa,ATRIBUTO
es,sobre,ATRIBUTO
el,y,ATRIBUTO
el,del,ATRIBUTO
el,"""LG-P760""?",ATR_CONDICION
"""","""?",VALOR
de,los,ATRIBUTO
el,y,ATRIBUTO
la,de,ATRIBUTO
los,y,ATRIBUTO
y,de,ATRIBUTO
los,de,ATRIBUTO
la,UCLA.,ATR_CONDICION
universidad,.,VALOR
los,de,ATRIBUTO
de,?,VALOR
jugadores,UCLA?,=
los,y,ATRIBUTO
las,de,ATRIBUTO
cuyas,son,ATR_CONDICION
posiciones,defensores.,=
son,.,VALOR
los,y,ATRIBUTO
las,para,ATRIBUTO
la,de,ATR_CONDICION
posición,Defensor?,=
de,?,VALOR
los,y,ATRIBUTO
los,.,ATRIBUTO
diferentes,y,ATRIBUTO
cuántos,cada,ATRIBUTO
los,de,ATRIBUTO
los,de,ATRIBUTO
los,de,ATRIBUTO
cuyo,no,ATR_CONDICION
país,Suiza.,!=
sea,.,VALOR
se,los,ATRIBUTO
de,?,VALOR
del,de,ATR_CONDICION
que,del,!=
los,de,ATRIBUTO
una,mayor,ATR_CONDICION
altura,5000?,>
a,?,VALOR
los,de,ATRIBUTO
una,mayor,ATR_CONDICION
altura,5000.,>
a,.,VALOR
los,de,ATRIBUTO
una,superior,ATR_CONDICION
una,superior,ATR_CONDICION
altura,5000,>
prominencia,1000.,>
a,o,VALOR
a,.,VALOR
5000,una,OR
se,las,ATRIBUTO
una,de,ATR_CONDICION
una,de,ATR_CONDICION
altura,5000,>
prominencia,1000?,>
de,o,VALOR
de,?,VALOR
5000,una,OR
Muestra,sobre,ATRIBUTO
las,y,ATRIBUTO
los,de,ATRIBUTO
los,y,ATRIBUTO
y,de,ATRIBUTO
los,de,ATRIBUTO
cuyo,no,ATR_CONDICION
partido,"""republicano""?",!=
"""","""?",VALOR
la,de,ATRIBUTO
del,de,ATR_CONDICION
estado,Nueva,=
de,o,VALOR
York,del,OR
estado,Indiana?,=
del,de,ATR_CONDICION
de,?,VALOR
y,de,ATRIBUTO
las,y,ATRIBUTO
la,y,ATRIBUTO
y,de,ATRIBUTO
los,de,ATRIBUTO
edificios,por,ATR_CONDICION
gestionados,"""Emma"".",=
"""",""".",VALOR
los,de,ATRIBUTO
edificios,"""Emma""?",ATR_CONDICION
"""","""?",VALOR
las,y,ATRIBUTO
y,de,ATRIBUTO
edificios,por,ATR_CONDICION
gestionados,"""Brenden"".",=
"""",""".",VALOR
la,y,ATRIBUTO
el,de,ATRIBUTO
edificios,por,ATR_CONDICION
gestionados,"""Brenden""?",=
"""","""?",VALOR
el,y,ATRIBUTO
el,de,ATRIBUTO
el,y,ATRIBUTO
el,de,ATRIBUTO
los,de,ATRIBUTO
con,de,ATR_CONDICION
código,"""Piso"".",=
"""",""".",VALOR
los,.,ATRIBUTO
el,de,ATR_CONDICION
código,"""Piso""?",=
"""","""?",VALOR
los,y,ATRIBUTO
y,de,ATRIBUTO
los,y,ATRIBUTO
y,de,ATRIBUTO
la,de,ATRIBUTO
el,"""Masculino"".",ATR_CONDICION
invitados,código,=
"""",""".",VALOR
las,de,ATRIBUTO
"""","""?",VALOR
cuyo,es,ATR_CONDICION
género,"""masculino""?",=
la,",",ATRIBUTO
"temporada,",",",ATRIBUTO
"local,",de,ATRIBUTO
la,de,ATRIBUTO
con,superior,ATR_CONDICION
capacidad,100%?,>
al,?,VALOR
el,",",ATRIBUTO
la,de,ATRIBUTO
"jugador,",y,ATRIBUTO
"""","""?",VALOR
la,del,ATR_CONDICION
que,la,!=
las,y,ATRIBUTO
y,de,ATRIBUTO
la,a,ATRIBUTO
el,"""TD",ATR_CONDICION
"""","""",VALOR
"""","""",VALOR
"Garden""","""Bell",OR
actuaciones,lugar,=
los,de,ATRIBUTO
del,de,ATR_CONDICION
departamento,informática.,=
de,.,VALOR
los,de,ATRIBUTO
del,.,VALOR
instructores,Comp.,=
¿,?,ATR_CONDICION
